Name,Cals,FatCals,Fat(g),Sat(g),Trans(g),Chol(mg),Sod(mg),Carbs(g),Fiber(g),Sugar(g),Prot(g),,Kind
Peanut Butter Skillet Cookie,1250,580,64,27,1,105,1130,144,6,87,22,,Dessert
Peanut Butter Molten,1200,580,65,23,0.5,130,1010,141,5,101,20,,Dessert
Boneless Buffalo Wings,1050,600,67,11,0,135,3640,60,5,2,51,,Appetizer
Bottomless Tostada Chips,910,410,45,6,0,0,1600,112,10,4,13,,Appetizer
Classic Nachos - Chicken - Large,1410,780,87,45,0,340,3930,63,9,9,99,,Appetizer
Classic Nachos - Chicken - Regular,970,540,60,31,0,235,2670,43,6,7,67,,Appetizer
Classic Nachos - Fajita Beef - Large,1580,910,101,50,1,370,4460,61,9,10,109,,Appetizer
Classic Nachos - Fajita Beef - Regular,1080,630,70,35,0.5,255,3020,42,6,7,73,,Appetizer
Classic Nachos - Large,1200,730,81,43,0,215,3010,61,9,9,58,,Appetizer
Classic Nachos - Regular,820,510,56,30,0,150,2050,42,6,7,39,,Appetizer
Crispy Onion & Jalapeno Stack,1060,750,84,14,1,15,1540,67,7,10,11,,Appetizer
Fresh Guacamole with Grilled Corn,1180,620,69,10,0,0,2110,130,21,6,16,,Appetizer
Fried Cheese,720,370,41,17,1,75,2140,57,4,7,33,,Appetizer
Hot Spinach & Artichoke Dip,1440,830,92,33,0,140,1880,124,12,7,31,,Appetizer
Jumbo Soft Pretzels,1060,430,48,17,0,35,3570,125,6,7,31,,Appetizer
Loaded Potato Skins,1120,710,79,35,0,170,1690,55,6,5,49,,Appetizer
Skillet Queso,1580,860,96,34,0,135,3890,135,12,15,44,,Appetizer
Southwestern Eggrolls,770,360,40,10,0.5,20,1750,81,7,6,24,,Appetizer
Sweet Potato Fries,800,430,48,8,0,15,1090,83,13,33,8,,Appetizer
Texas Cheese Fries - Full Order,1740,1060,117,48,0,255,5290,96,8,4,75,,Appetizer
Texas Cheese Fries - Half Order,1260,790,88,36,0,185,3440,65,5,3,52,,Appetizer
Wings over Buffalo,850,580,65,14,0,290,2550,6,1,2,62,,Appetizer
Chicken Enchilada - Bowl,400,230,26,9,0,65,1650,26,3,3,20,,Soup
Chicken Enchilada - Cup,200,120,13,4.5,0,30,820,13,1,1,10,,Soup
Loaded Baked Potato - Bowl,510,310,34,21,0,110,1820,26,2,4,19,,Soup
Loaded Baked Potato - Cup,250,150,17,10,0,55,910,13,1,2,9,,Soup
Southwest Chicken - Bowl,230,90,10,2.5,0.5,20,1540,28,3,3,9,,Soup
Southwest Chicken - Cup,110,45,5,1,0,10,770,14,1,1,4,,Soup
Terlingua Chili - Bowl,400,250,28,8,0,65,1060,14,0,3,23,,Soup
Terlingua Chili - Cup,200,130,14,4,0,30,530,7,0,2,12,,Soup
Bacon Avocado Chicken Sandwich,1600,740,82,19,0,180,3900,145,12,10,73,,Sandwich
Buffalo Chicken Ranch Sandwich,1230,510,57,10,0,110,4390,131,8,9,48,,Sandwich
California Turkey Club Toasted Sandwich,1530,720,81,19,0,125,3550,147,14,15,59,,Sandwich
